Sample1	Sample10	Sample100	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample2	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample3	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample4	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample5	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample6	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample7	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample8	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample9	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99
Gene1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1
Gene2	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0
Gene3	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	0
Gene4	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	0
Gene5	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0
Gene6	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0
Gene7	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0
Gene8	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1
Gene9	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1
Gene10	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0
Gene11	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0
Gene12	1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0
Gene13	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1
Gene14	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0
Gene15	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1
Gene16	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
Gene17	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1
Gene18	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1
Gene19	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
Gene20	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	0
Gene21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gene24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene26	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gene27	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1
Gene28	0	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1
Gene29	1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
Gene30	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1
Gene31	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0
Gene32	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0
