sample	lnIC50
Sample1	-0.383397236021573
Sample10	3.96321572997479
Sample100	0.783226243508249
Sample11	4.13834092924078
Sample12	0.287961142011552
Sample13	5.51701585182562
Sample14	2.00893757413393
Sample15	1.31629226937826
Sample16	0.15779925442552
Sample17	6.66703275803803
Sample18	4.25534035218726
Sample19	1.10510155606441
Sample2	-0.227596361773022
Sample20	3.58894312178924
Sample21	4.6720428473567
Sample22	1.15686421359981
Sample23	3.54589276621221
Sample24	-0.114854928538547
Sample25	1.6039589539352
Sample26	2.23062171933172
Sample27	-0.331094239999009
Sample28	0.249572206924638
Sample29	3.14187512121878
Sample3	2.18525146463579
Sample30	3.5667330231331
Sample31	2.32259942758814
Sample32	0.274646976370375
Sample33	2.40086621277905
Sample34	2.71618948976531
Sample35	0.732579547493423
Sample36	2.98840821390665
Sample37	3.18524385748161
Sample38	-1.9634415874864
Sample39	2.91973039026689
Sample4	1.85773562942641
Sample40	1.32264850202038
Sample41	2.4022180231946
Sample42	1.29271621649778
Sample43	3.92938648768305
Sample44	1.69525975155536
Sample45	3.34886940843268
Sample46	-1.68712182853999
Sample47	0.783675808805147
Sample48	1.31211262324405
Sample49	1.8393700268311
Sample5	3.79405520237786
Sample50	4.23514317821807
Sample51	2.79943917479594
Sample52	3.24686512467907
Sample53	4.18259483197235
Sample54	5.08661063946185
Sample55	1.10164503031256
Sample56	2.49706794622217
Sample57	3.76863375495287
Sample58	2.45503495837908
Sample59	1.55094852029406
Sample6	2.53671780973126
Sample60	2.30091743403173
Sample61	1.37087934785131
Sample62	0.653972187482931
Sample63	4.51463755395912
Sample64	1.13790949287112
Sample65	1.81276018267481
Sample66	2.27064614147428
Sample67	1.27896487523279
Sample68	1.5554509612049
Sample69	4.39626093413047
Sample7	1.65747968406977
Sample70	1.63170212853752
Sample71	-0.311724312388337
Sample72	3.85224289458335
Sample73	2.30329307786981
Sample74	3.18356300595533
Sample75	3.88052519102808
Sample76	2.44918174168419
Sample77	2.23705164759686
Sample78	3.61835329761482
Sample79	1.93303051646643
Sample8	0.547197973038759
Sample80	2.34190081204972
Sample81	-0.926271661667524
Sample82	1.56402197012214
Sample83	1.08046828456515
Sample84	5.26189004051042
Sample85	3.02787520759672
Sample86	2.73173401668588
Sample87	1.4526355169476
Sample88	3.02473986648248
Sample89	0.491623084209215
Sample9	1.80835435186203
Sample90	1.85908577859652
Sample91	2.53231040726063
Sample92	2.86135642820214
Sample93	1.64098603342665
Sample94	2.12057506484827
Sample95	3.50373066847342
Sample96	1.25495387275639
Sample97	4.09592819756324
Sample98	0.294967048275795
Sample99	2.76706988636795
